"","Location","PopTotal"
"86579","Eurasian Economic Community (Eurasec)",222594686
"86799","Europe",747182815
"86800","Europe",747182815
"88498","Europe (48)",747182815
"88649","Europe and Northern America",1113783759
"89533","European Community (EC: 12)",384069996
"89684","European Free Trade Agreement (EFTA)",14347277
"89835","European Union (EU: 15)",408593654
"89986","European Union (EU: 28)",512516929
"90137","Falkland Islands (Malvinas)",3372
"91021","Faroe Islands",48677
"91905","Fiji",889955
"92789","Finland",5532159
"93673","France",65129731
"94557","France (and dependencies)",67978398
"94708","French Guiana",290823
"95592","French Polynesia",279285
"96476","Gabon",2172578
"97360","Gambia",2347696
"98244","Georgia",3996762
"99128","Germany",83517046
"100012","Ghana",30417858
"100896","Gibraltar",33706
"101780","Greater Arab Free Trade Area (GAFTA)",406373337
"101931","Greece",10473452
"102815","Greenland",56660
"103699","Grenada",112002
"104583","Group of 77 (G77)",6060094962
"104734","Group of Eight (G8)",915935544
"104885","Group of Seven (G7)",770063284
"105036","Group of Twenty (G20) - member states",4622853206
"105187","Guadeloupe",400048
"106071","Guam",167295
"106955","Guatemala",17581476
"107839","Guinea",12771246
"108723","Guinea-Bissau",1920917
"109607","Gulf Cooperation Council (GCC)",57694359
"109758","Guyana",782775
"110642","Haiti",11263079
"111526","High-income countries",1258043484
"112410","Holy See",815
"113294","Honduras",9746115
"114178","Hungary",9684680
"115062","Iceland",339037
"115946","India",1366417756
"116830","Indonesia",270625567
"117714","Iran (Islamic Republic of)",82913893
"118598","Iraq",39309789
"119482","Ireland",4882498
"120366","Isle of Man",84589
"121250","Israel",8519373
"122134","Italy",60550092
"123018","Jamaica",2948277
"123902","Japan",126860299
"124786","Jordan",10101697
"125670","Kazakhstan",18551428
"126554","Kenya",52573967
"127438","Kiribati",117608
"128322","Kuwait",4207077
"129206","Kyrgyzstan",6415851
"130090","LLDC: Africa",332262488
"130241","LLDC: Asia",164025746
"130392","LLDC: Europe",6126716
"130543","LLDC: Latin America",18557741
"130694","Land-locked Countries",583340277
"130845","Land-locked Countries (Others)",62367586
"130996","Land-locked Developing Countries (LLDC)",520972691
"131880","Lao People's Democratic Republic",7169456
"132833","Latin America and the Caribbean",648120956
"132834","Latin America and the Caribbean",648120956
"134532","Latin American Integration Association (ALADI)",568696545
"134683","Latin American and Caribbean Group (GRULAC)",643474175
"134834","Latvia",1906740
"135718","League of Arab States (LAS, informal name: Arab League)",428166389
"135869","Least developed countries",1033388868
"136753","Least developed: Africa",682410622
"136904","Least developed: Asia",338616201
"137055","Least developed: Latin America and the Caribbean",11263079
"137206","Least developed: Oceania",1098966
"137357","Lebanon",6855709
"138241","Lesotho",2125267
"139125","Less developed regions",6442837885
"140009","Less developed regions, excluding China",4977203709
"140893","Less developed regions, excluding least developed countries",5409449017
"141777","Less developed: Africa",1308064176
"141928","Less developed: Asia",4474510967
"142079","Less developed: Latin America and the Caribbean",648120956
"142230","Less developed: Oceania",12141786
"142381","Liberia",4937374
"143265","Libya",6777453
"144149","Liechtenstein",38020
"145033","Lithuania",2759631
"145917","Low-income countries",755849741
"146801","Lower-middle-income countries",3057708884
"147685","Luxembourg",615730
"148569","Madagascar",26969306
"149453","Malawi",18628749
"150337","Malaysia",31949789
"151221","Maldives",530957
"152105","Mali",19658023
"152989","Malta",440377
"153873","Marshall Islands",58791
"154757","Martinique",375557
"155641","Mauritania",4525698
"156525","Mauritius",1269670
